# Id	FilePath		R	G	B
[TEXTURES]
1	Textures/item.png	255	255	0
10	Textures/sophia_die.png	176	0	248
20	Textures/misc.png	176	224	0
30	Textures/car.png	255	0	255
40	Textures/enemies.png	255	0	255
50	Textures/map2.png	255	255	255
60	Textures/jason.png	255	0	255
70	Textures/enemies-1.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#=========== SMALL JASON =============
#stand right
1000	141	3	151	20	60
#stand left
1010	121	3	131	20	60
#move right
1100	154	4	164	20	60
1101	167	4	177	20	60
1102	180	3	190	20	60
#move left
1110	108	4	118	20	60
1111	95	4	105	20	60
1112	82	3	92	20	60
#climb
1200	193	4	205	20	60
1210	67	4	79	20	60
#crawl right
1300	207	10	223	20	60
1301	223	10	239	20	60
#crawl left
1310	49	10	65	20	60
1311	33	10	49	20	60
#dead right
1400	141	23	155	39	60
1401	158	25	174	39	60
1402	177	23	191	39	60
1403	195	25	211	39	60
1404	213	29	229	39	60
#dead left
1410	117	23	134	39	60	
1411	98	25	114	39	60
1412	81	23	95	39	60
1413	61	25	77	39	60
1414	43	29	59	39	60
#
## BIG JASON ##
#Big jason stand right + left + up + down
2000	141	77	165	109	60
2001	107	77	131	109	60
2002	88	42	108	74	60
2003	164	42	184	74	60
#big jason move right
2100	171	78	195	109	60
2101	199	78	223	109	60
#big jason move left
2110	77	78	101	109	60
2111	49	78	73	109	60
#big jason move up
2200	114	43	134	74	60
2201	62	43	82	74	60
#big jason move down
2210	188	43	208	74	60
2211	139	43	159	74	60
# big jason dead
2300	82	112	106	141	60
2301	110	112	133	141	60
2302	137	112	161	141	60
2303	165	112	189	141	60
#
## SOPHIA ##
# car	state	right	wheel
#  5	  00	  0	  0
# stand + moving right
50000	146	5	172	23	30
50001	178	5	204	23	30
50002	211	5	237	23	30
50003	242	5	268	23	30
# crouch right
50100	146	30	172	47	30
50101	178	30	204	47	30
50102	211	30	237	47	30
50103	243	30	269	47	30
# down + falling right
50200	146 	56 	172 	72 	30
50201	177 	56 	203 	72 	30
50202	211 	56 	237	72 	30
50203	243 	56 	269 	72 	30
# stand + moving left
50010	109	5	135	23	30
50011	77	5	103	23	30
50012	44	5	70	23	30
50013	12	5	39	23	30
# crouch left
50110	109	30	135	47	30
50111	77	30	103	47	30
50112	45	30	71	47	30
50113	12	30	38	47	30
# down + falling left
50210	109 	56 	135 	72 	30
50211	78 	56 	104 	72	30
50212	44 	56 	70 	72 	30
50213	12 	56 	38 	72 	30
# turn right
50300	146	80	170	98	30
50301	179	80	203	98	30
50302	211 	80	235	98	30
50303	244	80	268	98	30
#turn left
50310	111	80	135	98	30
50311	77	80	101	98	30
50312	45	80	69	98	30
50313	12	80	36	98	30
#turn right down
51300	146	106	170	123	30
51301	179	106	203	123	30
51302	211	106	235	123	30
51303	246	106	270	123	30
#turn left down
51310	111	106	135	123	30
51311	78	106	102	123	30
51312	46	106	70	123	30
51313	11	106	35	123	30
#jump up turn right
50400	146	157	170	178	30
50401	177	157	201	178	30
50402	210	157	234	178	30
50403	244	157	268	178	30
#jump up turn left
50410	111	157	135	178	30
50411	80	157	104	178	30
50412	47	157	71	178	30
50413	13	157	37	178	30
#jump up right + moving
50500	146	130	172	151	30
50501	178	130	204	151	30
50502	211	130	237	151	30
50503	245	130	271	151	30
#jump up left + moving
50510	109	130	135	151	30
50511	77	130	103	151	30
50512	44	130	70	151	30
50513	10	130	39	151	30
# upward right 1 + moving + jumping
50600	146 	180 	171 	213 	30
50601	176 	180 	201 	213 	30
50602	209 	180 	234 	213 	30 
50603	243 	180 	268 	213 	30
#upward left 1 + moving + jumping
50610	110 	180 	135 	213 	30
50611	80 	180 	105 	213 	30
50612	47 	180 	72 	213 	30
50613	13 	180 	38 	213 	30
#upward right 2 + moving + jumping
50700	146 	246 	171 	280 	30	
50701	174 	246 	199 	280 	30	
50702	207 	246 	232 	280 	30
50703	242 	246 	267 	280 	30
#upward left 2 + moving + jumping
50710	110 	246 	135 	280 	30
50711	82 	246 	105 	280 	30
50712	49 	246 	74	280 	30
50713	14 	246 	39	280 	30
#upward right 3 + moving + jumping 
50800	146 	283 	172 	317 	30
50801	176 	283 	202 	317 	30
50802	207 	283 	233 	317 	30
50803	242 	283 	268 	317 	30
#upward left 3 + moving + jumping
50810	109 	283 	135 	317	30
50811	79 	283 	105 	317 	30
50812	48 	283 	74	317 	30
50813	13 	283 	39	317	30
# die 
50900	100	78	143	125	10
50901	12	85	76	132	10
# open right
51000	105	334	131	360	30
# open left
51010	74	334	100	360	30
##==============BULLET===================
#small bullet jason right, left, top
20001	240	68	248	74	1
20002	241	110	249	116	1
20003	241	89	247	97	1
#big bullet jason right, left, top
20004	73	200	95	206	1
20005	114	200	136	206	1
20006	218	48	224	62	1
#bang
20007	176	94	183	102	1
20008	192	91	208	104	1
20009	213	90	229	106	1
#electric bullet jason 
20010	3	111	18	127	1
20011	3	132	18	148	1
20012	7	153	14	168	1
20013	6	174	17	190	1
#small sophia bullet
20020	135	180	139	184	1
##
# Brick
40001	408	225	424	241	20
##============ENEMY======================
#ORB
#walk left
70011	74	386	92	404	40
#walk right
70015	154	386	172	404	40
#turn
70012	134	386	152	404	40
70013	114	386	132	404	40
70014	94	386	112	404	40
#WORM
#right
70051	186	411	204	421	40
70052	168	411	186	421	40
#left
70053	42	411	60	421	40
70054	60	411	78	421	40
#FLOATER
#walking right
70061	148	406	166	421	40
70062	128	405	146	421	40
#walking left
70063	80	406	98	421	40
70064	100	405	118	421	40
#SKULL
#right
70041	190	529	208	547	40	
70042	170	526	188	547	40
#left
70043	38	529	56	547	40
70044	58	526	76	547	40
#JUMPER
#right
70021	164	498	181	524	40
70022	146	498	163	524	40
